,DATE2,GEOGRAPHY_NAME,VARIABLE_NAME2,MEASURES,MEASURES_NAME,OBS_VALUE,var_type,Group
1409,2022-06,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,54700.0,Gender,Male
1413,2022-06,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4400.0,Gender,Female
1417,2022-06,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,50700.0,Gender,Female
1425,2022-09,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4500.0,Gender,Male
1429,2022-09,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,53800.0,Gender,Male
1433,2022-09,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4600.0,Gender,Female
1437,2022-09,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,55800.0,Gender,Female
1445,2022-12,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4600.0,Gender,Male
1449,2022-12,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,52100.0,Gender,Male
1453,2022-12,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,3800.0,Gender,Female
1457,2022-12,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,56900.0,Gender,Female
1465,2023-03,Northern Ireland,% of economically inactive male temporary sick,21001,Numerator,4600.0,Gender,Male
1469,2023-03,Northern Ireland,% of economically inactive male long-term sick,21001,Numerator,50400.0,Gender,Male
1473,2023-03,Northern Ireland,% of economically inactive female temporary sick,21001,Numerator,4200.0,Gender,Female
1477,2023-03,Northern Ireland,% of economically inactive female long-term sick,21001,Numerator,56300.0,Gender,Female
