,DATE2,MEASURES_NAME,Group,obvs,id,type
1273,2020-09,Number of Inactive,Female Inactivity due to illness,2700,2020-09 temp,Female Inactivity due to illness
1277,2020-09,Number of Inactive,Female Inactivity due to illness,56900,2020-09 long-term,Female Inactivity due to illness
1293,2020-12,Number of Inactive,Female Inactivity due to illness,2700,2020-12 temp,Female Inactivity due to illness
1297,2020-12,Number of Inactive,Female Inactivity due to illness,59200,2020-12 long-term,Female Inactivity due to illness
1313,2021-03,Number of Inactive,Female Inactivity due to illness,2400,2021-03 temp,Female Inactivity due to illness
1317,2021-03,Number of Inactive,Female Inactivity due to illness,59600,2021-03 long-term,Female Inactivity due to illness
1333,2021-06,Number of Inactive,Female Inactivity due to illness,2900,2021-06 temp,Female Inactivity due to illness
1337,2021-06,Number of Inactive,Female Inactivity due to illness,54800,2021-06 long-term,Female Inactivity due to illness
1353,2021-09,Number of Inactive,Female Inactivity due to illness,3900,2021-09 temp,Female Inactivity due to illness
1357,2021-09,Number of Inactive,Female Inactivity due to illness,47100,2021-09 long-term,Female Inactivity due to illness
1373,2021-12,Number of Inactive,Female Inactivity due to illness,5100,2021-12 temp,Female Inactivity due to illness
1377,2021-12,Number of Inactive,Female Inactivity due to illness,47300,2021-12 long-term,Female Inactivity due to illness
1393,2022-03,Number of Inactive,Female Inactivity due to illness,4700,2022-03 temp,Female Inactivity due to illness
1397,2022-03,Number of Inactive,Female Inactivity due to illness,47200,2022-03 long-term,Female Inactivity due to illness
1413,2022-06,Number of Inactive,Female Inactivity due to illness,4400,2022-06 temp,Female Inactivity due to illness
1417,2022-06,Number of Inactive,Female Inactivity due to illness,50700,2022-06 long-term,Female Inactivity due to illness
1433,2022-09,Number of Inactive,Female Inactivity due to illness,4600,2022-09 temp,Female Inactivity due to illness
1437,2022-09,Number of Inactive,Female Inactivity due to illness,55800,2022-09 long-term,Female Inactivity due to illness
1453,2022-12,Number of Inactive,Female Inactivity due to illness,3800,2022-12 temp,Female Inactivity due to illness
1457,2022-12,Number of Inactive,Female Inactivity due to illness,56900,2022-12 long-term,Female Inactivity due to illness
1473,2023-03,Number of Inactive,Female Inactivity due to illness,4200,2023-03 temp,Female Inactivity due to illness
1477,2023-03,Number of Inactive,Female Inactivity due to illness,56300,2023-03 long-term,Female Inactivity due to illness
1,2004-12,Number of Inactive,Female Inactive,331000,2004-12 Inactive,Female Inactive
21,2005-03,Number of Inactive,Female Inactive,337700,2005-03 Inactive,Female Inactive
41,2005-06,Number of Inactive,Female Inactive,337000,2005-06 Inactive,Female Inactive
61,2005-09,Number of Inactive,Female Inactive,328200,2005-09 Inactive,Female Inactive
81,2005-12,Number of Inactive,Female Inactive,328900,2005-12 Inactive,Female Inactive
101,2006-03,Number of Inactive,Female Inactive,325900,2006-03 Inactive,Female Inactive
121,2006-06,Number of Inactive,Female Inactive,318200,2006-06 Inactive,Female Inactive
141,2006-09,Number of Inactive,Female Inactive,330300,2006-09 Inactive,Female Inactive
161,2006-12,Number of Inactive,Female Inactive,330900,2006-12 Inactive,Female Inactive
181,2007-03,Number of Inactive,Female Inactive,327200,2007-03 Inactive,Female Inactive
201,2007-06,Number of Inactive,Female Inactive,328100,2007-06 Inactive,Female Inactive
221,2007-09,Number of Inactive,Female Inactive,326000,2007-09 Inactive,Female Inactive
241,2007-12,Number of Inactive,Female Inactive,323400,2007-12 Inactive,Female Inactive
261,2008-03,Number of Inactive,Female Inactive,321200,2008-03 Inactive,Female Inactive
281,2008-06,Number of Inactive,Female Inactive,327100,2008-06 Inactive,Female Inactive
301,2008-09,Number of Inactive,Female Inactive,331100,2008-09 Inactive,Female Inactive
321,2008-12,Number of Inactive,Female Inactive,334100,2008-12 Inactive,Female Inactive
341,2009-03,Number of Inactive,Female Inactive,343500,2009-03 Inactive,Female Inactive
361,2009-06,Number of Inactive,Female Inactive,351400,2009-06 Inactive,Female Inactive
381,2009-09,Number of Inactive,Female Inactive,346000,2009-09 Inactive,Female Inactive
401,2009-12,Number of Inactive,Female Inactive,347000,2009-12 Inactive,Female Inactive
421,2010-03,Number of Inactive,Female Inactive,344600,2010-03 Inactive,Female Inactive
441,2010-06,Number of Inactive,Female Inactive,341900,2010-06 Inactive,Female Inactive
461,2010-09,Number of Inactive,Female Inactive,343000,2010-09 Inactive,Female Inactive
481,2010-12,Number of Inactive,Female Inactive,336800,2010-12 Inactive,Female Inactive
501,2011-03,Number of Inactive,Female Inactive,333500,2011-03 Inactive,Female Inactive
521,2011-06,Number of Inactive,Female Inactive,325300,2011-06 Inactive,Female Inactive
541,2011-09,Number of Inactive,Female Inactive,324100,2011-09 Inactive,Female Inactive
561,2011-12,Number of Inactive,Female Inactive,319900,2011-12 Inactive,Female Inactive
581,2012-03,Number of Inactive,Female Inactive,315000,2012-03 Inactive,Female Inactive
601,2012-06,Number of Inactive,Female Inactive,317100,2012-06 Inactive,Female Inactive
621,2012-09,Number of Inactive,Female Inactive,317200,2012-09 Inactive,Female Inactive
641,2012-12,Number of Inactive,Female Inactive,320000,2012-12 Inactive,Female Inactive
661,2013-03,Number of Inactive,Female Inactive,319800,2013-03 Inactive,Female Inactive
681,2013-06,Number of Inactive,Female Inactive,323300,2013-06 Inactive,Female Inactive
701,2013-09,Number of Inactive,Female Inactive,320200,2013-09 Inactive,Female Inactive
721,2013-12,Number of Inactive,Female Inactive,318100,2013-12 Inactive,Female Inactive
741,2014-03,Number of Inactive,Female Inactive,322100,2014-03 Inactive,Female Inactive
761,2014-06,Number of Inactive,Female Inactive,321400,2014-06 Inactive,Female Inactive
781,2014-09,Number of Inactive,Female Inactive,315000,2014-09 Inactive,Female Inactive
801,2014-12,Number of Inactive,Female Inactive,319900,2014-12 Inactive,Female Inactive
821,2015-03,Number of Inactive,Female Inactive,312600,2015-03 Inactive,Female Inactive
841,2015-06,Number of Inactive,Female Inactive,317200,2015-06 Inactive,Female Inactive
861,2015-09,Number of Inactive,Female Inactive,323200,2015-09 Inactive,Female Inactive
881,2015-12,Number of Inactive,Female Inactive,315500,2015-12 Inactive,Female Inactive
901,2016-03,Number of Inactive,Female Inactive,317200,2016-03 Inactive,Female Inactive
921,2016-06,Number of Inactive,Female Inactive,313500,2016-06 Inactive,Female Inactive
941,2016-09,Number of Inactive,Female Inactive,307300,2016-09 Inactive,Female Inactive
961,2016-12,Number of Inactive,Female Inactive,303300,2016-12 Inactive,Female Inactive
981,2017-03,Number of Inactive,Female Inactive,313200,2017-03 Inactive,Female Inactive
1001,2017-06,Number of Inactive,Female Inactive,309200,2017-06 Inactive,Female Inactive
1021,2017-09,Number of Inactive,Female Inactive,316800,2017-09 Inactive,Female Inactive
1041,2017-12,Number of Inactive,Female Inactive,322600,2017-12 Inactive,Female Inactive
1061,2018-03,Number of Inactive,Female Inactive,321700,2018-03 Inactive,Female Inactive
1081,2018-06,Number of Inactive,Female Inactive,324900,2018-06 Inactive,Female Inactive
1101,2018-09,Number of Inactive,Female Inactive,319700,2018-09 Inactive,Female Inactive
1121,2018-12,Number of Inactive,Female Inactive,318000,2018-12 Inactive,Female Inactive
1141,2019-03,Number of Inactive,Female Inactive,311800,2019-03 Inactive,Female Inactive
1161,2019-06,Number of Inactive,Female Inactive,305600,2019-06 Inactive,Female Inactive
1181,2019-09,Number of Inactive,Female Inactive,308100,2019-09 Inactive,Female Inactive
1201,2019-12,Number of Inactive,Female Inactive,305500,2019-12 Inactive,Female Inactive
1221,2020-03,Number of Inactive,Female Inactive,303000,2020-03 Inactive,Female Inactive
1241,2020-06,Number of Inactive,Female Inactive,303400,2020-06 Inactive,Female Inactive
1261,2020-09,Number of Inactive,Female Inactive,312200,2020-09 Inactive,Female Inactive
1281,2020-12,Number of Inactive,Female Inactive,326100,2020-12 Inactive,Female Inactive
1301,2021-03,Number of Inactive,Female Inactive,334700,2021-03 Inactive,Female Inactive
1321,2021-06,Number of Inactive,Female Inactive,323300,2021-06 Inactive,Female Inactive
1341,2021-09,Number of Inactive,Female Inactive,315200,2021-09 Inactive,Female Inactive
1361,2021-12,Number of Inactive,Female Inactive,314500,2021-12 Inactive,Female Inactive
1381,2022-03,Number of Inactive,Female Inactive,308200,2022-03 Inactive,Female Inactive
1401,2022-06,Number of Inactive,Female Inactive,317900,2022-06 Inactive,Female Inactive
1421,2022-09,Number of Inactive,Female Inactive,320200,2022-09 Inactive,Female Inactive
1441,2022-12,Number of Inactive,Female Inactive,308100,2022-12 Inactive,Female Inactive
1461,2023-03,Number of Inactive,Female Inactive,303300,2023-03 Inactive,Female Inactive
